image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC3699476_table_0,2,23,0.9330276548862457,0.1104769429758839,-0.8225507119103619
PMC4344310_table_9,3,53,0.9492744406064352,0.0424378994360285,-0.9068365411704067
PMC4347569_table_0,3,62,0.9047939976056417,0.14394747288597207,-0.7608465247196696
PMC4349827_table_2,6,261,0.8008248408635458,0.0123362653439158,-0.7884885755196299
PMC4357215_table_1,3,28,0.7886561155319214,0.2301556465349027,-0.5585004689970187
PMC4358912_table_0,3,29,0.9119215210278829,0.07966412860771706,-0.8322573924201658
PMC4382224_table_3,2,55,0.9193063974380493,0.07999113679609515,-0.8393152606419542
PMC4397815_table_0,3,27,0.9387090007464091,0.14696956287931512,-0.7917394378670939
PMC4404307_table_4,2,34,0.9826575815677643,0.09511185443090439,-0.8875457271368599
PMC4405071_table_2,3,69,0.9093741575876871,0.032491746291086296,-0.8768824112966008
PMC4414192_table_1,3,36,0.9579969048500061,0.06767626079575469,-0.8903206440542514
PMC4422521_table_0,5,198,0.8915731906890869,0.017644291367344182,-0.8739288993217428
PMC4446912_table_2,14,108,0.8742160073348454,0.022531951018781575,-0.8516840563160638
PMC4448174_table_0,4,40,0.8272103518247604,0.09934622142463923,-0.7278641304001212
PMC4460118_table_0,7,22,0.916246771812439,0.09065550980581479,-0.8255912620066241
PMC4460960_table_2,2,28,0.8750587105751038,0.11643284506031445,-0.7586258655147893
PMC4462176_table_1,5,200,0.4038106262683868,0.05430486286757514,-0.3495057634008117
PMC4475293_table_0,6,105,0.6115855971972147,0.085679026353561,-0.5259065708436537
PMC4477319_table_0,10,37,0.4395157992839813,0.06583747154454121,-0.3736783277394401
PMC4494277_table_1,8,44,0.0,0.042209932284260336,0.042209932284260336
PMC4502461_table_0,6,200,0.8575040300687155,0.05621159553062171,-0.8012924345380937
PMC4537032_table_0,8,23,0.8583575561642647,0.11049860355484745,-0.7478589526094173
PMC4537607_table_1,1,33,0.401377409696579,0.077251828529618,-0.324125581166961
PMC4541081_table_0,6,28,0.90610999862353,0.11050913956257448,-0.7956008590609556
PMC4567825_table_1,2,74,0.8083657026290894,0.06830970364633784,-0.7400559989827515
PMC4587829_table_1,3,53,0.9160540501276652,0.060622374931315205,-0.85543167519635
PMC4602069_table_0,1,29,0.0,0.35538242628862116,0.35538242628862116
PMC4609322_table_0,3,42,0.910429318745931,0.30134158869761796,-0.6090877300483131
PMC4636288_table_7,3,23,0.8661379814147949,0.09247759956380595,-0.773660381850989
PMC4640420_table_0,5,116,0.9588564872741699,0.025235996846559233,-0.9336204904276107
PMC4652359_table_0,6,77,0.9398816923300425,0.06898023743279182,-0.8709014548972507
PMC4657899_table_0,4,141,0.6588932871818542,0.05517818121543379,-0.6037151059664204
PMC4676113_table_2,4,222,0.8571161478757858,0.029976997581134375,-0.8271391502946515
PMC4687681_table_3,3,153,0.917905350526174,0.02929918794874467,-0.8886061625774293
PMC4706279_table_0,2,34,0.9326307773590088,0.12261947293711059,-0.8100113044218982
PMC4710813_table_3,7,28,0.8475273592131478,0.10926935159659479,-0.738258007616553
PMC4729253_table_3,5,98,0.8377407312393188,0.025900458517883505,-0.8118402727214353
PMC4786230_table_1,3,129,0.924632708231608,0.07028164390416801,-0.85435106432744
PMC4807062_table_3,7,220,0.6212004934038434,0.05141797438687221,-0.5697825190169712
PMC4810510_table_5,20,138,0.746214596182108,0.03878437759282821,-0.7074302185892798
PMC4832246_table_1,4,20,0.9113106578588486,0.17005953015759587,-0.7412511277012527
PMC4835069_table_0,2,55,0.8405669629573822,0.05607556284151294,-0.7844914001158693
PMC4841532_table_1,4,60,0.9333846420049667,0.04153868515665333,-0.8918459568483134
PMC4842268_table_1,3,66,0.7019422849019369,0.13067683017994347,-0.5712654547219934
PMC4849657_table_0,8,38,0.9087212681770325,0.07923980022927649,-0.829481467947756
PMC4860226_table_0,4,20,0.8885700851678848,0.14007959970040246,-0.7484904854674823
PMC4867558_table_3,1,14,0.8837645649909973,0.3392306140823556,-0.5445339509086418
PMC4873252_table_1,2,76,0.9287697374820709,0.05474151732203992,-0.874028220160031
PMC4899900_table_1,2,16,0.6141209900379181,0.17699023359455168,-0.4371307564433664
PMC4913737_table_2,2,36,0.9488509297370911,0.08967227566366394,-0.8591786540734271
PMC4928964_table_2,2,19,0.4736466508329613,0.13986154292759143,-0.33378510790536986
PMC4939065_table_0,10,35,0.7976998746395111,0.11154762016875404,-0.686152254470757
PMC4957754_table_2,2,57,0.9569687247276306,0.042882116544142104,-0.9140866081834885
PMC4961722_table_0,8,184,0.8341705650091171,0.019374198457428618,-0.8147963665516885
PMC4969667_table_1,6,23,0.9416037698586782,0.09658098965883255,-0.8450227801998457
PMC4977681_table_0,15,70,0.4083804666996002,0.04812793384439179,-0.3602525328552084
PMC4982128_table_2,4,221,0.5424408093094826,0.03434838830994872,-0.5080924209995339
PMC5003889_table_0,2,53,0.8340295851230621,0.04690438839343359,-0.7871251967296286
PMC5007685_table_4,32,151,0.0,0.11153618250248817,0.11153618250248817
PMC5009308_table_0,2,25,0.931173712015152,0.0907648679614067,-0.8404088440537453
PMC5037545_table_0,5,104,0.8785825610160828,0.14156081842688414,-0.7370217425891986
PMC5047943_table_4,9,213,0.8106405138969421,0.012046001453669698,-0.7985945124432724
PMC5068414_table_0,5,65,0.9524843573570252,0.18403238853968035,-0.7684519688173448
