image,has_span,n_gt_rows,n_gt_cols,n_gt_spans,row_mean_iou,row_recall,row_precision,row_f1,col_mean_iou,col_recall,col_precision,col_f1,span_mean_iou,span_recall,span_precision,span_f1,cell_mean_iou,cell_recall,cell_precision,cell_f1,span_cell_mean_iou,span_cell_recall,span_cell_f1,nonspan_cell_mean_iou,nonspan_cell_recall,nonspan_cell_f1,n_gt_cells,n_pred_cells
PMC3117774_table_0,True,15,5,7,0.9213341911633809,1.0,1.0,1.0,0.9656546115875244,1.0,1.0,1.0,0.9191808530262539,1.0,0.5384615384615384,0.7000000000000001,0.7982785359901541,0.8676470588235294,0.921875,0.893939393939394,0.9191808530262539,1.0,1.0769230769230769,0.7844044996089623,0.8524590163934426,0.8813559322033898,68,64
PMC3121637_table_2,False,23,5,0,0.7896651547888051,1.0,1.0,1.0,0.8765877604484558,1.0,0.8333333333333334,0.9090909090909091,0.0,1.0,0.0,0.0,0.7815325586692147,0.991304347826087,0.8321167883211679,0.9047619047619048,0.0,0.0,0.0,0.7815325586692147,0.991304347826087,0.9047619047619048,115,137
PMC3123623_table_2,True,8,7,5,0.960577204823494,1.0,1.0,1.0,0.9172897849764142,1.0,1.0,1.0,0.8785802721977234,1.0,1.0,1.0,0.911304117417803,1.0,1.0,1.0,0.8785802721977234,1.0,1.0,0.9148610571156377,1.0,1.0,51,51
PMC3128000_table_0,False,4,6,0,0.9269533306360245,1.0,1.0,1.0,0.9194964667161306,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8835013881325722,1.0,1.0,1.0,0.0,0.0,0.0,0.8835013881325722,1.0,1.0,24,24
PMC3130712_table_0,True,28,6,6,0.7832593811409814,1.0,0.8235294117647058,0.9032258064516129,0.9740981459617615,1.0,1.0,1.0,0.761553963025411,0.8333333333333334,1.0,0.9090909090909091,0.7725288425984026,0.9931972789115646,0.8111111111111111,0.8929663608562691,0.8167702356974283,0.8333333333333334,0.7692307692307692,0.7706462301261036,1.0,0.9009584664536741,147,180
PMC3133566_table_1,False,29,2,0,0.8855676671554302,1.0,1.0,1.0,0.9708251953125,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8819055505867662,1.0,1.0,1.0,0.0,0.0,0.0,0.8819055505867662,1.0,1.0,58,58
PMC3168504_table_0,False,9,2,0,0.958952870633867,1.0,1.0,1.0,0.9751447439193726,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9549914598464966,1.0,1.0,1.0,0.0,0.0,0.0,0.9549914598464966,1.0,1.0,18,18
PMC3175473_table_0,False,7,7,0,0.9092723386628287,1.0,1.0,1.0,0.9383172137396676,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8742793737625589,1.0,1.0,1.0,0.0,0.0,0.0,0.8742793737625589,1.0,1.0,49,49
PMC3186735_table_4,False,6,4,0,0.9197627206643423,1.0,1.0,1.0,0.9530551880598068,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.891164573530356,1.0,1.0,1.0,0.0,0.0,0.0,0.891164573530356,1.0,1.0,24,24
PMC3189140_table_2,True,6,5,1,0.9530461430549622,1.0,1.0,1.0,0.9084901094436646,1.0,1.0,1.0,0.9385547637939453,1.0,1.0,1.0,0.8975608503376996,1.0,1.0,1.0,0.9385547637939453,1.0,1.0,0.8959841613586133,1.0,1.0,27,27
PMC3199236_table_0,False,9,3,0,0.9072952667872111,1.0,1.0,1.0,0.930322547753652,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7416190019360295,0.8888888888888888,1.0,0.9411764705882353,0.0,0.0,0.0,0.7416190019360295,0.8888888888888888,0.9411764705882353,27,24
PMC3200078_table_1,False,19,4,0,0.891049796029141,1.0,1.0,1.0,0.9771482646465302,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8175968363096839,0.9342105263157895,0.9861111111111112,0.9594594594594595,0.0,0.0,0.0,0.8175968363096839,0.9342105263157895,0.9594594594594595,76,72
