model,detected,iou,max_norm,max_snap,grid_err
v1.0,1,0.9776790738105774,0.017347011711958495,0.5587229614257865,0.0
v1.0,1,0.9696986079216003,0.016848864735709335,0.7949253906249965,0.0
v1.0,1,0.958601176738739,0.016450678778945262,0.5331887695311934,0.0
v1.0,1,0.9698772430419922,0.023174036935220237,0.668109802246093,0.0
v1.0,1,0.7655866742134094,0.19799696617572726,6.054133435058596,0.0
v1.0,1,0.9809420704841614,0.012290527630973075,1.3476625000000126,0.0
v1.0,1,0.9835193157196045,0.007601259156377428,2.0335549804687503,0.0
v1.0,1,0.9865800738334656,0.00618567647616525,0.3413839843749997,0.0
v1.0,1,0.9652753472328186,0.013322046761433639,3.0538141113281085,0.0
v1.0,1,0.9788398146629333,0.01378182459752969,1.057362255859374,0.0
v1.0,1,0.9388946294784546,0.02353243403740617,3.115458642578119,0.0
v1.0,1,0.974414050579071,0.014349545697350351,0.4402842407226615,0.0
v1.0,1,0.9000000357627869,0.049922654949858064,1.8013990966796882,0.0
v1.0,0,0.0,5.532441027901043,5.633102050781247,1.0
v1.0,1,0.9034232497215271,0.06265508856891805,3.181681787109369,0.0
v1.0,1,0.9443780183792114,0.0309853991378278,1.573466455078119,0.0
v1.0,1,0.9592956900596619,0.020221502834357887,1.026866113281244,0.0
